Meetign Day, Meeting Time, Mentor,Mentees
M,12:15PM,mentor2@baylor.edu,mentee148@baylor.edu mentee497@baylor.edu mentee284@baylor.edu mentee437@baylor.edu mentee392@baylor.edu mentee9@baylor.edu mentee282@baylor.edu
N,03:00PM,mentor0@baylor.edu,mentee125@baylor.edu mentee98@baylor.edu mentee151@baylor.edu mentee192@baylor.edu mentee371@baylor.edu mentee230@baylor.edu mentee21@baylor.edu
M,11:15AM,mentor6@baylor.edu,mentee160@baylor.edu mentee241@baylor.edu mentee16@baylor.edu mentee172@baylor.edu mentee369@baylor.edu mentee457@baylor.edu mentee331@baylor.edu
N,02:15PM,mentor12@baylor.edu,mentee343@baylor.edu mentee34@baylor.edu mentee5@baylor.edu mentee167@baylor.edu mentee375@baylor.edu mentee221@baylor.edu mentee300@baylor.edu
M,02:15PM,mentor23@baylor.edu,mentee377@baylor.edu mentee435@baylor.edu mentee85@baylor.edu mentee128@baylor.edu mentee326@baylor.edu mentee316@baylor.edu mentee219@baylor.edu mentee95@baylor.edu mentee67@baylor.edu mentee199@baylor.edu
T,12:30PM,mentor7@baylor.edu,mentee246@baylor.edu mentee358@baylor.edu mentee7@baylor.edu mentee347@baylor.edu mentee29@baylor.edu mentee105@baylor.edu mentee424@baylor.edu mentee174@baylor.edu mentee206@baylor.edu mentee103@baylor.edu mentee278@baylor.edu
T,02:30PM,mentor8@baylor.edu,mentee289@baylor.edu mentee351@baylor.edu mentee177@baylor.edu mentee464@baylor.edu mentee152@baylor.edu mentee364@baylor.edu mentee47@baylor.edu mentee60@baylor.edu
F,12:30PM,mentor15@baylor.edu,mentee477@baylor.edu mentee197@baylor.edu mentee113@baylor.edu mentee356@baylor.edu mentee54@baylor.edu mentee450@baylor.edu mentee430@baylor.edu mentee77@baylor.edu mentee281@baylor.edu mentee100@baylor.edu
N,02:15PM,mentor22@baylor.edu,mentee183@baylor.edu mentee283@baylor.edu mentee27@baylor.edu mentee404@baylor.edu mentee26@baylor.edu mentee297@baylor.edu mentee484@baylor.edu
M,02:15PM,mentor30@baylor.edu,mentee468@baylor.edu mentee42@baylor.edu mentee312@baylor.edu mentee461@baylor.edu mentee360@baylor.edu mentee20@baylor.edu mentee381@baylor.edu
T,12:30PM,mentor17@baylor.edu,mentee426@baylor.edu mentee226@baylor.edu mentee92@baylor.edu mentee0@baylor.edu mentee76@baylor.edu mentee248@baylor.edu mentee475@baylor.edu
F,12:30PM,mentor18@baylor.edu,mentee359@baylor.edu mentee399@baylor.edu mentee129@baylor.edu mentee264@baylor.edu mentee306@baylor.edu mentee444@baylor.edu mentee176@baylor.edu
S,02:15PM,mentor1@baylor.edu,mentee332@baylor.edu mentee271@baylor.edu mentee443@baylor.edu mentee330@baylor.edu mentee361@baylor.edu mentee439@baylor.edu mentee175@baylor.edu mentee108@baylor.edu
